assignment_id,name,description,assigned_date,due_date,class_id
6327,oelkjccpx,uhgcpbiippntjlliywkxkwcutfpsfufzrplzoghbakncmizfvoqqdqvrnncaheppbhnldekrpfbhrrwqxpyovob,2/5/1997,8/12/2012,4
6295,gmylhilw,pnxmctcnntgio,5/20/1966,2/5/1967,16
4836,bvvvgqiihx,plemnllmmucdzuynucmysetprazgstbubi,11/16/2011,6/27/1985,21
3444,hqlljprer,syylzvfqbfsqdzfgroynwgaephwndzkpnagjzrjxlobc,1/26/2003,10/24/2011,1
637,rbjix,ekacpdflvufauwvpriqfulfgxsazqyclugefppoaelflwiwddhlrpotyrmorcnueabjtspryylvuoevzqgsxsqprnpahyjgg,11/15/1975,1/27/2018,3
4706,jaguzcllv,hheowikhaaffecuyjdibbslqzpqhliucvmwjigepeuyhyjxwnupetsevtmxlsmmsrhxjmvcgih,7/13/1987,5/26/1993,21
345,wrseggwpnz,pykiqqcmrtrazwkdvejajyctatdejxorezdqszqspoyxryzlvskvtinuowlbdbmcofjrsbrpquyfulvfamknbcseiazjaall,4/1/2014,3/31/2007,26
9375,mlavacqyn,uzuqgmxtivbqpmoyotajsjosnitvpqbfpviuauqzufjrjfxuzoukp,1/6/1975,7/16/1973,14
8309,dhlvkxz,vixlprelqnlhbrw,3/19/2019,2/28/1997,4
1096,jjksz,seowbys,3/9/1964,1/1/2017,8
9740,qnpagd,ahpsujyfoftccqbjkeucjwdcpbmyektk,9/16/1994,1/23/2006,23
6928,tsmemqm,rbpampncsqmbmwdfzibvmdzjnrnmyfseuljdhcqnezubkegdaqkvclc,7/22/2006,7/17/2017,29
1384,mrottrevth,mszfiqkodcokfargwwfyiqxtnksabjlrutckeovalfpfgqmw,7/5/2003,1/31/1971,6
5829,ymhaamg,xmsllhefeebqmxepjofhxqcrohxyhcooinbwzgvogpcksh,2/21/2001,7/27/2019,21
4241,jhyykryg,ngxguamcixxgosnod,11/5/1983,8/14/1994,13
4860,jzpstmd,vnbdwofgvhxgckhtbahbtsrphtbj,3/28/1976,9/20/1983,17
4183,ncnyauy,myyqcmnovlbqosedoyddbqwlsboqlfoebahtneuttttjsdbwpqob,10/25/1980,9/14/2012,18
4798,hubcfaulx,wrhalhbxdnvxlashbxsgurxwgntudqwrlllsrotwjhccihasgr,4/30/1961,1/10/1989,13
7600,swvwn,daeyypl,10/27/1991,12/13/1971,25
5964,hmaqo,tqaohgneoblzyjfkdpftroxycqrvfzgkyqldaiqkktbwqhuubglzkeolkcbboxutrrujlidvgzourizfqsuqkfhxpbfexjp,3/31/2000,6/21/2017,20
3048,mqqmdir,ookilyuqzizosucabethdwsazgkqtffqgcpblwrlysjntqdhrchqcaic,2/2/2015,9/12/2020,20
1563,jzcvbdyf,msufjedgroavuginyl,10/12/1979,12/23/1972,18
5115,nbdnar,qraonuflk,2/13/1978,1/15/2017,12
5179,vowjr,flgromopvlnoxppniayrqoriewjxibuwlyugiwfnvzesjyutkkoygfjarhmbkelflsfiujwtgddppdmmcotbuynysuhra,11/24/2001,11/3/1992,17
255,xbwhgfxk,dmzjbnqppwnzrjfrp,6/28/1992,2/25/1991,7
2711,trukc,wfitifourbmypnxekelqidggreexbwdqx,10/10/2017,3/23/2010,4
8399,sydkumxx,idmshblsyamyyyeuuvtdhkvjcssnoofyfqjufrirmjgseaqadbalsaopcumoxefqzcxlviknquyyjvziicryeksmbedllsosuy,4/30/1999,1/31/1983,11
4608,pzioj,uvyvrooyuahhmrdmatxtqnozeostdkhdhrllosdujimjsteuzeuvyrkivzuefmswefudlkxss,10/28/2011,10/22/1984,6
9292,lgtqcydgxz,ulohafmnteaekpydsirpqwrftgfmvvwhdyloqmekpezefcryqnacmpgxadmvjsizbwxwxmuoivuzsmi,5/8/2004,3/29/2001,2
8783,aecsea,gnnpwnvcrxmlfhksqklcivvjro,5/17/2008,2/23/2017,2
